avgoverallcompanyrating,descriptionLengthChars,clicks,JobCategory
37,2521,27,1
50,736,23,2
10,839,31,3
40,4998,19,4
0,1285,39,5
0,2293,55,4
0,5451,23,6
0,1790,27,3
0,614,31,7
44,3976,27,8
0,884,19,2
33,1856,43,9
37,112,23,10
30,770,35,11
0,4826,23,12
0,5376,19,5
0,330,123,13
0,2762,27,14
37,514,27,7
0,1659,43,14
50,1142,27,12
0,2541,43,15
0,2022,19,16
0,3031,51,5
42,779,39,17
0,1531,35,7
42,994,27,14
50,597,23,18
0,1049,35,2
0,2669,31,2
0,1483,31,19
0,3043,31,11
40,1093,23,5
0,2968,35,20
37,1245,23,21
0,732,43,2
0,1028,31,14
30,746,35,5
0,772,39,22
43,49,39,14
0,1100,23,23
37,1629,27,3
0,683,27,5
37,352,43,24
36,139,43,8
0,152,39,2
36,2796,27,3
0,1708,19,14
0,627,31,14
0,102,39,25
30,1872,247,22
38,2192,223,12
44,257,55,10
0,115,27,26
0,1422,31,1
0,205,23,27
0,1407,27,2
0,1997,31,4
0,699,15,23
0,1131,27,4
0,108,23,28
0,1122,31,5
30,1962,99,8
0,2272,39,8
37,1126,31,2
0,984,35,2
0,1502,31,9
0,4514,43,4
0,596,43,19
33,290,35,25
0,887,19,7
0,2623,43,27
40,3462,31,12
39,881,27,8
37,1532,31,14
0,292,23,25
0,5811,35,29
0,2130,19,30
0,2573,191,27
0,258,39,11
0,1591,23,4
43,1720,27,27
36,668,43,18
0,529,35,8
0,381,27,7
0,175,27,2
0,173,23,12
0,3239,23,3
42,254,135,8
36,3285,39,31
0,1829,43,1
30,2965,31,32
0,1866,51,5
40,697,39,17
30,792,27,25
0,1146,39,5
0,2314,27,33
36,4454,35,9
0,965,43,14
50,1308,91,5
0,1118,47,10
0,2327,31,14
0,491,55,5
0,992,55,19
0,1647,35,17
30,2495,27,34
0,1331,35,14
30,865,123,35
35,99,19,1
36,689,31,8
0,115,19,10
37,3106,43,24
0,2538,55,4
0,325,55,5
35,1787,43,2
0,5164,27,26
0,2423,23,14
0,1783,15,14
0,1125,23,9
0,1157,23,4
0,660,27,35
0,878,39,31
0,169,35,35
0,2682,39,34
0,2315,31,36
