employerJobCount,date,country,maskedEmployerName,employerAccountDateCreated,advtype,avgoverallcompanyrating,jobagedays,jobdatecreated,descriptionLengthChars,candStatusReviewedCount,supervisingJob,licenseRequiredJob,noEducationRequirementsJob,highSchoolEducationRequirementsJob,higherEducationRequirementsJob,applies,clicks,yearWeekOfYear,advDateCreatedDate,employeecount,normtitle,employerIndustry,normtitlecategory,admin1,city,jobHash
b'4',b'2017-10-05',b'US',b'Company1554778180268',b'20170912',b'none',b'0',b'15',b'20170920',b'1624',b'4',b'0',b'0',b'0',b'0',b'0',b'5',b'31',b'201740',b'2017-09-12',b'1-49',b'director of billing',b'Other',b'management',b'PA',b'United',b'Company15547781802684\n'
b'30',b'2017-11-24',b'US',b'Company747324310742',b'20170223',b'none',b'22',b'17',b'20171107',b'333',b'2',b'0',b'0',b'0',b'0',b'0',b'5',b'31',b'201747',b'2017-02-23',b'50-149',b'capacity manager',b'Job Board (General)',b'management',b'PA',b'York',b'Company74732431074230\n'
b'690',b'2018-01-21',b'US',b'Company1262720386225',b'20130425',b'Direct Employer',b'0',b'2',b'20180119',b'2044',b'8',b'0',b'0',b'0',b'0',b'0',b'10',b'51',b'20183',b'2013-04-25',b'750-999',b'senior account supervisor',b'Education',b'marketing',b'ME',b'Unity',b'Company1262720386225690\n'
b'19',b'2017-12-28',b'US',b'Company481036337949',b'20150126',b'Direct Employer',b'0',b'35',b'20171123',b'2835',b'2',b'0',b'0',b'0',b'0',b'0',b'5',b'31',b'201752',b'2015-01-26',b'500-749',b'claims clerk',b'Automotive',b'insurance',b'NY',b'Friendship',b'Company48103633794919\n'
b'1',b'2017-07-04',b'US',b'Company747324331314',b'20170404',b'none',b'0',b'91',b'20170404',b'1730',b'2',b'0',b'0',b'0',b'0',b'0',b'3',b'23',b'201727',b'2017-04-04',b'500-749',b'college receptionist',b'Arts/Entertainment/Recreation',b'admin',b'PA',b'Blue Bell',b'Company7473243313141\n'
b'589',b'2017-11-12',b'US',b'Company910533067044',b'20150426',b'Staffing Agency',b'0',b'10',b'20171102',b'3436',b'1',b'0',b'0',b'0',b'0',b'0',b'4',b'27',b'201745',b'2015-04-26',b'1-49',b'hospice aide',b'Transportation/Logistics',b'service',b'NH',b'Epping',b'Company910533067044589\n'
b'21',b'2017-11-14',b'US',b'Company7210',b'20151020',b'Direct Employer',b'50',b'61',b'20170914',b'1928',b'2',b'0',b'0',b'0',b'0',b'0',b'3',b'23',b'201746',b'2015-10-20',b'750-999',b'event assistant',b'Media/Newspaper',b'admin',b'TX',b'Fort Worth',b'Company721021\n'
b'149',b'2018-01-19',b'US',b'Company455266533391',b'20140424',b'Direct Employer',b'0',b'0',b'20180119',b'3006',b'0',b'0',b'0',b'0',b'0',b'0',b'4',b'27',b'20183',b'2014-04-24',b'150-249',b'it coordinator',b'Financial Services/Banking',b'techinfo',b'CA',b'Lodi',b'Company455266533391149\n'
b'373',b'2017-12-26',b'US',b'Company481036337871',b'20141016',b'Direct Employer',b'30',b'15',b'20171211',b'1962',b'6',b'0',b'0',b'0',b'0',b'0',b'22',b'99',b'201752',b'2014-10-16',b'1-49',b'senior electronic assembler',b'Education',b'manufacturing',b'KY',b'Newport',b'Company481036337871373\n'
b'19',b'2018-01-25',b'US',b'Company867583395812',b'20160613',b'Direct Employer',b'0',b'65',b'20171121',b'2627',b'4',b'0',b'0',b'0',b'0',b'0',b'5',b'31',b'20184',b'2016-06-13',b'250-499',b'senior supervisor',b'Automotive',b'management',b'OH',b'Warsaw',b'Company86758339581219\n'
b'68',b'2017-12-18',b'US',b'Company532575945071',b'20170509',b'Staffing Agency',b'0',b'18',b'20171130',b'432',b'2',b'0',b'0',b'0',b'0',b'0',b'5',b'31',b'201751',b'2017-05-09',b'1-49',b'medical biller',b'Work at Home',b'medinfo',b'NY',b'Wellsville',b'Company53257594507168\n'
b'76',b'2017-07-13',b'US',b'Company1262720386652',b'20140318',b'Staffing Agency',b'0',b'6',b'20170707',b'398',b'3',b'0',b'0',b'0',b'0',b'0',b'6',b'35',b'201728',b'2014-03-18',b'150-249',b'forklift operator',b'Media/Newspaper',b'warehouse',b'CA',b'Ontario',b'Company126272038665276\n'
b'55',b'2017-10-08',b'US',b'Company103079216472',b'20151215',b'Other',b'0',b'6',b'20171002',b'2280',b'6',b'0',b'0',b'0',b'0',b'0',b'8',b'43',b'201740',b'2015-12-15',b'1-49',b'inside sales representative',b'Health Care/Medical',b'sales',b'PA',b'Hunker',b'Company10307921647255\n'
b'4',b'2017-10-18',b'US',b'Company970662624679',b'20170920',b'Staffing Agency',b'0',b'26',b'20170922',b'1874',b'1',b'0',b'0',b'0',b'0',b'0',b'6',b'35',b'201742',b'2017-09-20',b'250-499',b'medical surgical nurse manager',b'Staffing Firm (General)',b'mednurse',b'AZ',b'Golden Valley',b'Company9706626246794\n'
